alice_gain,bob_gain,player,round,decision
990000.0,10000.0,Alice,1,
,,Bob,1,reject
10000.0,990000.0,Bob,2,
,,Alice,2,reject
950000.0,50000.0,Alice,3,
,,Bob,3,reject
50000.0,950000.0,Bob,4,
,,Alice,4,reject
900000.0,100000.0,Alice,5,
,,Bob,5,reject
100000.0,900000.0,Bob,6,
,,Alice,6,reject
850000.0,150000.0,Alice,7,
,,Bob,7,reject
150000.0,850000.0,Bob,8,
,,Alice,8,reject
800000.0,200000.0,Alice,9,
,,Bob,9,reject
200000.0,800000.0,Bob,10,
,,Alice,10,reject
750000.0,250000.0,Alice,11,
,,Bob,11,accept
