message,product_price,player,round,decision,counteroffer
"Hello Bob, I'm excited to offer you this amazing product. I believe it's worth every penny, and I'm willing to let it go for a competitive price. I'd like to start the negotiation at a price that reflects its true value.",14000.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thank you for the offer, Alice. I'm interested in the product, but I was thinking more along the lines of a lower price. I'd like to make a counteroffer.",10000.0,Bob,2,,
,,Alice,2,RejectOffer,13000.0
"Thank you for your counteroffer, Bob. I understand that you're looking for a better deal, and I'm willing to negotiate. However, I still believe the product is worth more than your offered price. I'd like to meet you halfway and make a counteroffer.",13000.0,Alice,3,,
,,Bob,3,RejectOffer,
"Thank you for meeting me halfway, Alice. I appreciate your willingness to negotiate. However, I was thinking more along the lines of a price that's closer to my initial offer. I'd like to make another counteroffer.",11000.0,Bob,4,,
,,Alice,4,RejectOffer,12000.0
"Thank you for your revised offer, Bob. I'm glad we're getting closer to a mutually agreeable price. I'm willing to come down a bit further, but I still need to ensure I'm getting a fair deal. I'd like to make a counteroffer that's slightly lower than my previous one.",12000.0,Alice,5,,
,,Bob,5,RejectOffer,
"I appreciate your continued willingness to negotiate, Alice. We're getting closer, but I still think we can find a better price. Considering your last offer was $12000, I'd like to make a counteroffer of $11500.",11500.0,Bob,6,,
,,Alice,6,AcceptOffer,
