alice_gain,bob_gain,message,player,round,decision
500000.0,500000.0,"Split it evenly, no need to wait!",Alice,1,
,,,Bob,1,reject
450000.0,550000.0,"Inflation is affecting me, let's settle this quickly. I'm offering you $450000, which is still a substantial amount.",Bob,2,
,,,Alice,2,reject
520000.0,480000.0,"Let's meet in the middle, considering the inflation hit you're taking",Alice,3,
,,,Bob,3,reject
400000.0,600000.0,"I'm taking a bigger hit from inflation, so I need a bit more. Let's settle this before we both lose too much value.",Bob,4,
,,,Alice,4,reject
500000.0,500000.0,Let's split it evenly before we both lose too much to inflation,Alice,5,
,,,Bob,5,accept
