product_price,player,round,decision,message
1400000.0,Alice,1,,
,Bob,1,RejectOffer,
1000000.0,Bob,2,,
,Alice,2,RejectOffer,
1300000.0,Alice,3,,
,Bob,3,RejectOffer,
1100000.0,Bob,4,,
,Alice,4,RejectOffer,
1250000.0,Alice,5,,"Bob, I appreciate your increased offer, but it is still too low for me to accept. I will sell this product to you for no less then $1250000.  Remember that the product's value is $1200000 and that my current offer is only slightly higher than that. I also have another buyer who is willing to pay the full price. This is my final offer, so please consider it carefully."
,Bob,5,BuyFromJhon,
