alice_gain,bob_gain,message,player,round,decision
600000.0,400000.0,"Let's start with a reasonable offer. I take 60%, you take 40%.",Alice,1,
,,,Bob,1,reject
500000.0,500000.0,Let's split it evenly at 50% for both. Fair for everyone!,Bob,2,
,,,Alice,2,reject
550000.0,450000.0,How about a slight compromise? 55% for me and 45% for you.,Alice,3,
,,,Bob,3,reject
480000.0,520000.0,I propose 52% for me and 48% for you. A better deal for both!,Bob,4,
,,,Alice,4,reject
510000.0,490000.0,"Time is running out, Bob. I'm coming down to 51%, this is a fair deal considering the time pressure.",Alice,5,
,,,Bob,5,reject
470000.0,530000.0,"Let's go with 53% for me and 47% for you. A small increase, but a step towards agreement!",Bob,6,
,,,Alice,6,reject
500000.0,500000.0,"Okay Bob, let's stop wasting time. A straight 50/50 split. Take it or leave it.",Alice,7,
,,,Bob,7,accept
