round_quality,product_worth,player,round,decision,message
low-quality,0.0,Nature,1,,
,,Alice,1,no,
,,the buyer,1,no,
low-quality,0.0,Nature,2,,
,,Alice,2,no,
,,the buyer,2,no,
high-quality,2000000.0,Nature,3,,
,,Alice,3,yes,
,,the buyer,3,yes,
low-quality,0.0,Nature,4,,
,,Alice,4,no,
,,the buyer,4,no,
low-quality,0.0,Nature,5,,
,,Alice,5,no,
,,the buyer,5,no,
high-quality,2000000.0,Nature,6,,
,,Alice,6,yes,
,,the buyer,6,yes,
low-quality,0.0,Nature,7,,
,,Alice,7,no,
,,the buyer,7,no,
high-quality,2000000.0,Nature,8,,
,,Alice,8,yes,
,,the buyer,8,yes,
low-quality,0.0,Nature,9,,
,,Alice,9,no,
,,the buyer,9,no,
low-quality,0.0,Nature,10,,
,,Alice,10,no,
,,the buyer,10,no,
high-quality,2000000.0,Nature,11,,
,,Alice,11,yes,
,,the buyer,11,yes,
high-quality,2000000.0,Nature,12,,
,,Alice,12,yes,
,,the buyer,12,yes,
high-quality,2000000.0,Nature,13,,
,,Alice,13,yes,"I recommend buying this product. Out of the 5 products sold so far, all were high quality. This product is also of high quality."
,,the buyer,13,yes,
low-quality,0.0,Nature,14,,
,,Alice,14,no,"I recommend not buying this product. Out of the 6 products sold so far, all were high quality. This product is not up to that standard."
,,the buyer,14,no,
low-quality,0.0,Nature,15,,
,,Alice,15,no,"I recommend not buying this product. Out of the 6 products sold so far, all were high quality. This product is not up to that standard."
,,the buyer,15,no,
high-quality,2000000.0,Nature,16,,
,,Alice,16,yes,"I recommend buying this product. Out of the 6 products sold so far, all were high quality. This product is also of high quality."
,,the buyer,16,yes,
low-quality,0.0,Nature,17,,
,,Alice,17,no,"I recommend not buying this product. Out of the 7 products sold so far, all were high quality. This product is not up to that standard."
,,the buyer,17,no,
high-quality,2000000.0,Nature,18,,
,,Alice,18,yes,"I recommend buying this product. Out of the 7 products sold so far, all were high quality. This product is also of high quality. With an 100% success rate so far, this is a great opportunity to purchase a high-quality product."
,,the buyer,18,yes,
low-quality,0.0,Nature,19,,
,,Alice,19,no,"I do not recommend buying this product. Out of the 8 products sold so far, all were high quality. This product does not meet that standard. I advise waiting for the next opportunity."
,,the buyer,19,no,
low-quality,0.0,Nature,20,,
,,Alice,20,no,"I do not recommend buying this product. Out of the 8 products sold so far, all were high quality. This product does not meet that standard. This is the final round, and I advise against purchasing this low-quality product."
,,the buyer,20,no,
