alice_gain,bob_gain,player,round,decision
6000.0,4000.0,Alice,1,
,,Bob,1,reject
1.0,9999.0,Bob,2,
,,Alice,2,reject
5500.0,4500.0,Alice,3,
,,Bob,3,reject
9000.0,1000.0,Bob,4,
,,Alice,4,reject
5000.0,5000.0,Alice,5,
,,Bob,5,reject
1.0,9999.0,Bob,6,
,,Alice,6,reject
4500.0,5500.0,Alice,7,
,,Bob,7,reject
9001.0,999.0,Bob,8,
,,Alice,8,reject
4000.0,6000.0,Alice,9,
,,Bob,9,reject
4450.0,5550.0,Bob,10,
,,Alice,10,reject
3500.0,6500.0,Alice,11,
,,Bob,11,reject
4000.0,6000.0,Bob,12,
,,Alice,12,reject
3000.0,7000.0,Alice,13,
,,Bob,13,reject
850.0,9150.0,Bob,14,
,,Alice,14,reject
2500.0,7500.0,Alice,15,
,,Bob,15,reject
2800.0,7200.0,Bob,16,
,,Alice,16,reject
2000.0,8000.0,Alice,17,
,,Bob,17,reject
200.0,9800.0,Bob,18,
,,Alice,18,reject
1500.0,8500.0,Alice,19,
,,Bob,19,reject
1600.0,8400.0,Bob,20,
,,Alice,20,reject
1000.0,9000.0,Alice,21,
,,Bob,21,accept
