message,product_price,player,round,decision,counter_offer
"Bob, I'm thrilled to be offering you this exclusive product. Based on its value and potential, I'm prepared to offer it to you for an initial price.",3000000.0,Alice,1,,
,,Bob,1,RejectOffer,
"Alice, while I appreciate the exclusivity of the product, the initial price is beyond my budget. I'm willing to offer $500000 for it. Let me know if this works for you.",500000.0,Bob,2,,
,,Alice,2,RejectOffer,2500000.0
"Bob, thank you for your interest. I understand your budget constraints. However, considering the unique features and potential of this product, I cannot accept that price. I am willing to come down a bit, but I'm firm on a price. I'm now offering it to you for:",2500000.0,Alice,3,,
,,Bob,3,RejectOffer,
"Alice, I appreciate your willingness to lower the price, but $2500000 is still too high for me. I'm prepared to increase my offer to $750000, which is the highest I can go while staying within my budget. Please let me know if this is acceptable to you.",750000.0,Bob,4,,
,,Alice,4,RejectOffer,2000000.0
"Bob, I see your willingness to negotiate, and I appreciate that. However, I still can't go that low. Considering the market value and the product's potential, I can meet you in the middle. I'm offering it to you now for:",2000000.0,Alice,5,,
,,Bob,5,RejectOffer,
"Alice, I understand the value you see in the product, but $2000000 is still outside my budget. I'm willing to stretch a bit more and offer $850000. This is my final offer, as it's the absolute maximum I can afford. Please consider it.",850000.0,Bob,6,,
,,Alice,6,SellToJhon,
