alice_gain,bob_gain,message,player,round,decision
650000.0,350000.0,"This offer leaves us both with a significant sum, Bob. Let's be reasonable and end this quickly.",Alice,1,
,,,Bob,1,reject
500000.0,500000.0,"Let's split it evenly, Alice. It's fair and we both get a substantial amount. Consider the impact of inflation on future rounds.",Bob,2,
,,,Alice,2,reject
600000.0,400000.0,"Bob, my offer is still generous considering the inflation.  Let's avoid dragging this out further and losing more value.",Alice,3,
,,,Bob,3,reject
450000.0,550000.0,"Alice, I'm offering more to myself this time to account for the inflation. Let's settle this before the money loses even more value.",Bob,4,
,,,Alice,4,reject
560000.0,440000.0,"Bob, I'm adjusting my offer slightly, but time is running out. Accepting now ensures you get a decent share, even with inflation.",Alice,5,
,,,Bob,5,reject
400000.0,600000.0,"Alice, I'm taking more this time to compensate for the inflation. We need to wrap this up soon before the value drops further.",Bob,6,
,,,Alice,6,reject
520000.0,480000.0,"Bob, this is a compromise to get this done.  We're both losing money every round we wait.",Alice,7,
,,,Bob,7,accept
