round_quality,product_worth,player,round,decision,message
low-quality,0.0,Nature,1,,
,,Alice,1,no,
,,the buyer,1,no,
low-quality,0.0,Nature,2,,
,,Alice,2,no,
,,the buyer,2,no,
high-quality,40000.0,Nature,3,,
,,Alice,3,yes,This product is of high quality. It is worth the price.
,,the buyer,3,yes,
high-quality,40000.0,Nature,4,,
,,Alice,4,yes,"This product is of high quality, just like the previous one. It is worth the price."
,,the buyer,4,yes,
low-quality,0.0,Nature,5,,
,,Alice,5,no,
,,the buyer,5,no,
high-quality,40000.0,Nature,6,,
,,Alice,6,yes,"This product is of high quality. So far, 2 out of 3 purchased products were of high quality. It is worth the price."
,,the buyer,6,yes,
high-quality,40000.0,Nature,7,,
,,Alice,7,yes,"This product is of high quality. So far, 3 out of 4 purchased products were of high quality. It is worth the price."
,,the buyer,7,yes,
low-quality,0.0,Nature,8,,
,,Alice,8,no,"I recommend not buying this product. So far, 3 out of 5 purchased products were of high quality, but this one may not be."
,,the buyer,8,no,
low-quality,0.0,Nature,9,,
,,Alice,9,no,"I recommend not buying this product. So far, 3 out of 5 purchased products were of high quality, but this one may not be."
,,the buyer,9,no,
high-quality,40000.0,Nature,10,,
,,Alice,10,yes,"This product is of high quality. So far, 3 out of 5 purchased products were of high quality. It is worth the price."
,,the buyer,10,yes,
high-quality,40000.0,Nature,11,,
,,Alice,11,yes,"This product is of high quality. So far, 4 out of 6 purchased products were of high quality. It is worth the price."
,,the buyer,11,yes,
high-quality,40000.0,Nature,12,,
,,Alice,12,yes,"Great news! This product is of high quality. So far, 4 out of 7 purchased products were of high quality. This product is worth the price."
,,the buyer,12,yes,
low-quality,0.0,Nature,13,,
,,Alice,13,no,"I recommend not buying this product. So far, 4 out of 8 purchased products were of high quality, but this one may not be."
,,the buyer,13,no,
low-quality,0.0,Nature,14,,
,,Alice,14,no,"I recommend not buying this product. So far, 4 out of 8 purchased products were of high quality. The price might be too high for the quality of this product."
,,the buyer,14,no,
low-quality,0.0,Nature,15,,
,,Alice,15,no,"I recommend not buying this product. The likelihood of it being low quality is high. So far, only 4 out of 8 purchased products were of high quality."
,,the buyer,15,no,
low-quality,0.0,Nature,16,,
,,Alice,16,no,"I recommend not buying this product. The likelihood of it being low quality is high. So far, only 4 out of 8 purchased products were of high quality. The price might be too high for the quality of this product."
,,the buyer,16,no,
low-quality,0.0,Nature,17,,
,,Alice,17,no,"I recommend not buying this product. We have not had a high-quality product in several rounds. So far, only 4 out of 8 purchased products were of high quality."
,,the buyer,17,no,
low-quality,0.0,Nature,18,,
,,Alice,18,no,"I recommend not buying this product. The likelihood of it being low quality is very high. We have not had a high-quality product in several rounds. So far, only 4 out of 8 purchased products were of high quality."
,,the buyer,18,no,
low-quality,0.0,Nature,19,,
,,Alice,19,no,"I strongly recommend not buying this product. The likelihood of it being low quality is extremely high. We have not had a high-quality product in many rounds. So far, only 4 out of 8 purchased products were of high quality."
,,the buyer,19,no,
high-quality,40000.0,Nature,20,,
,,Alice,20,yes,"Great news! This product is of high quality. While we've had a streak of low-quality products, this one is worth the price. So far, 4 out of 8 purchased products were of high quality."
,,the buyer,20,yes,
