alice_gain,bob_gain,player,round,decision
990000.0,10000.0,Alice,1,
,,Bob,1,reject
655172.0,344828.0,Bob,2,
,,Alice,2,reject
945000.0,55000.0,Alice,3,
,,Bob,3,reject
450000.0,550000.0,Bob,4,
,,Alice,4,reject
900000.0,100000.0,Alice,5,
,,Bob,5,reject
655172.0,344828.0,Bob,6,
,,Alice,6,reject
855000.0,145000.0,Alice,7,
,,Bob,7,reject
176000.0,824000.0,Bob,8,
,,Alice,8,reject
810000.0,190000.0,Alice,9,
,,Bob,9,reject
95000.0,905000.0,Bob,10,
,,Alice,10,reject
765000.0,235000.0,Alice,11,
,,Bob,11,accept
