alice_gain,bob_gain,player,round,decision
9000.0,1000.0,Alice,1,
,,Bob,1,reject
7000.0,3000.0,Bob,2,
,,Alice,2,reject
6000.0,4000.0,Alice,3,
,,Bob,3,reject
8000.0,2000.0,Bob,4,
,,Alice,4,reject
5500.0,4500.0,Alice,5,
,,Bob,5,reject
9000.0,1000.0,Bob,6,
,,Alice,6,reject
5200.0,4800.0,Alice,7,
,,Bob,7,reject
9500.0,500.0,Bob,8,
,,Alice,8,reject
5050.0,4950.0,Alice,9,
,,Bob,9,reject
9700.0,300.0,Bob,10,
,,Alice,10,reject
5025.0,4975.0,Alice,11,
,,Bob,11,reject
9900.0,100.0,Bob,12,
,,Alice,12,reject
