message,product_price,player,round,decision,counteroffer_price
"Hi Bob, I have a great product I think you'd be interested in. I'm offering it to you for $150.",150.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hi Alice, thank you for your offer. However, $150 is too high for me. I'm willing to pay $60 for the product.",60.0,Bob,2,,
,,Alice,2,RejectOffer,140.0
"Thanks for your interest, Bob. I can't go down to $60, but I'm willing to meet you in the middle. How about $140?",140.0,Alice,3,,
,,Bob,3,RejectOffer,
"Hi Alice, I appreciate your willingness to negotiate, but $140 is still too high for me. I can offer $70 for the product.",70.0,Bob,4,,
,,Alice,4,RejectOffer,130.0
"Bob, I'm really trying to make this work. My absolute lowest price is $130. This is a great deal for you, and it's the best I can do.",130.0,Alice,5,,
,,Bob,5,BuyFromJhon,
