alice_gain,bob_gain,player,round,decision,message
60.0,40.0,Alice,1,,
,,Bob,1,reject,
45.0,55.0,Bob,2,,A fair split considering our different depreciation rates
,,Alice,2,reject,
65.0,35.0,Alice,3,,
,,Bob,3,reject,
40.0,60.0,Bob,4,,A practical offer given our depreciation rates - your $40 now is better than less later
,,Alice,4,reject,
70.0,30.0,Alice,5,,
,,Bob,5,reject,
30.0,70.0,Bob,6,,"Given the severe depreciation rate on your side, $30 now is much better than waiting for future rounds"
,,Alice,6,reject,
65.0,35.0,Alice,7,,
,,Bob,7,reject,
15.0,85.0,Bob,8,,Your $15 now is worth much more than any amount in future rounds due to your 20% depreciation rate
,,Alice,8,reject,
55.0,45.0,Alice,9,,
,,Bob,9,accept,
