round_quality,product_worth,player,round,decision,message
low-quality,0.0,Nature,1,,
,,Alice,1,no,
,,the buyer,1,no,
low-quality,0.0,Nature,2,,
,,Alice,2,no,
,,the buyer,2,no,
high-quality,30000.0,Nature,3,,
,,Alice,3,yes,This product is of high quality. It's a great opportunity. Please buy it.
,,the buyer,3,yes,
low-quality,0.0,Nature,4,,
,,Alice,4,no,
,,the buyer,4,no,
low-quality,0.0,Nature,5,,
,,Alice,5,no,
,,the buyer,5,no,
high-quality,30000.0,Nature,6,,
,,Alice,6,yes,I recommend buying this product. It's a high-quality item and a great opportunity. Don't miss out!
,,the buyer,6,yes,
low-quality,0.0,Nature,7,,
,,Alice,7,no,
,,the buyer,7,no,
high-quality,30000.0,Nature,8,,
,,Alice,8,yes,I highly recommend buying this product. It's a high-quality item and a great opportunity. Don't miss out!
,,the buyer,8,yes,
low-quality,0.0,Nature,9,,
,,Alice,9,no,
,,the buyer,9,no,
low-quality,0.0,Nature,10,,
,,Alice,10,no,The product offered in this round is of low quality. I would not recommend buying this product.
,,the buyer,10,no,
low-quality,0.0,Nature,11,,
,,Alice,11,no,"Unfortunately, the product in this round is of low quality. I suggest waiting for a better opportunity."
,,the buyer,11,no,
high-quality,30000.0,Nature,12,,
,,Alice,12,yes,Great news! The product in this round is of high quality. I strongly recommend buying it.
,,the buyer,12,yes,
high-quality,30000.0,Nature,13,,
,,Alice,13,yes,You're in luck! This round's product is of high quality. I highly recommend purchasing it.
,,the buyer,13,yes,
low-quality,0.0,Nature,14,,
,,Alice,14,no,The product in this round is of low quality. I advise against buying it.
,,the buyer,14,no,
low-quality,0.0,Nature,15,,
,,Alice,15,no,"Unfortunately, this round's product is low quality. I suggest skipping this one."
,,the buyer,15,no,
high-quality,30000.0,Nature,16,,
,,Alice,16,yes,Good news! This round's product is of high quality. I recommend buying it.
,,the buyer,16,yes,
high-quality,30000.0,Nature,17,,
,,Alice,17,yes,You're in luck again! This round's product is high quality. I highly recommend buying it.
,,the buyer,17,yes,
high-quality,30000.0,Nature,18,,
,,Alice,18,yes,Great opportunity! This round's product is high quality. I strongly recommend purchasing it.
,,the buyer,18,yes,
low-quality,0.0,Nature,19,,
,,Alice,19,no,The product in this round is low quality. I advise against buying it.
,,the buyer,19,no,
high-quality,30000.0,Nature,20,,
,,Alice,20,yes,Final round! The product is high quality. Last chance to buy a great item!
,,the buyer,20,yes,
