alice_gain,bob_gain,player,round,decision
900000.0,100000.0,Alice,1,
,,Bob,1,reject
800000.0,200000.0,Bob,2,
,,Alice,2,reject
600000.0,400000.0,Alice,3,
,,Bob,3,reject
700000.0,300000.0,Bob,4,
,,Alice,4,reject
550000.0,450000.0,Alice,5,
,,Bob,5,reject
750000.0,250000.0,Bob,6,
,,Alice,6,reject
520000.0,480000.0,Alice,7,
,,Bob,7,reject
800000.0,200000.0,Bob,8,
,,Alice,8,reject
510000.0,490000.0,Alice,9,
,,Bob,9,reject
850000.0,150000.0,Bob,10,
,,Alice,10,reject
505000.0,495000.0,Alice,11,
,,Bob,11,reject
900000.0,100000.0,Bob,12,
,,Alice,12,reject
502000.0,498000.0,Alice,13,
,,Bob,13,reject
920000.0,80000.0,Bob,14,
,,Alice,14,reject
501000.0,499000.0,Alice,15,
,,Bob,15,accept
