message,product_price,player,round,decision,next_round_offer
"Hi Bob, I have a fantastic product that I think you'd be very interested in. Based on its features and quality, I'm offering it to you for $25000.",25000.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hi Alice, thanks for offering this product. While it seems interesting, $25000 is a bit outside my budget. I could consider a price closer to $8000.",8000.0,Bob,2,,
,,Alice,2,RejectOffer,20000.0
"Bob, thanks for the feedback. While $8000 is too low for this product, I'm willing to come down on my price. How about $20000?",20000.0,Alice,3,,
,,Bob,3,RejectOffer,
"Alice, I appreciate you coming down a bit, but $20000 is still more than I'm looking to spend. Could you do $12000?",12000.0,Bob,4,,
,,Alice,4,RejectOffer,18000.0
"Bob, I'm getting closer to my bottom line, and this product is truly worth the value. I'll meet you halfway. How about $18000?",18000.0,Alice,5,,
,,Bob,5,RejectOffer,
"Alice, I understand this product means a lot to you, but I have a budget I need to stick to. I can go up to $13000, but that's my limit.",13000.0,Bob,6,,
,,Alice,6,SellToJhon,
