alice_gain,bob_gain,player,round,decision,description
600000.0,400000.0,Alice,1,,
,,Bob,1,reject,
500000.0,500000.0,Bob,2,,
,,Alice,2,reject,
550000.0,450000.0,Alice,3,,
,,Bob,3,reject,
450000.0,550000.0,Bob,4,,
,,Alice,4,reject,
540000.0,460000.0,Alice,5,,
,,Bob,5,reject,
350000.0,650000.0,Bob,6,,"I think this offer is fair, because the money I gain is worth 40.96% less than in the first round."
,,Alice,6,reject,
530000.0,470000.0,Alice,7,,
,,Bob,7,reject,
250000.0,750000.0,Bob,8,,"This is my final offer. If Alice doesn't accept it, I'm willing to risk getting nothing."
,,Alice,8,accept,
