alice_gain,bob_gain,message,player,round,decision
6000.0,4000.0,"Let's split it fairly, 60/40 seems reasonable",Alice,1,
,,,Bob,1,reject
3000.0,7000.0,"Alice, with inflation eating away at my share faster, I need a larger portion. This is a reasonable offer to get the deal done. Let me know if you'll accept it this time.",Bob,2,
,,,Alice,2,reject
5500.0,4500.0,"Let's meet in the middle, considering the inflation. This offer is more favorable to you than my previous one.",Alice,3,
,,,Bob,3,reject
2500.0,7500.0,"Alice, inflation is really starting to hurt my potential gains. This is a slightly better offer for you than my previous one, and a good deal to finalize the deal. Take it or leave it.",Bob,4,
,,,Alice,4,reject
5000.0,5000.0,"Let's split it 50/50, considering the significant decrease in value for both of us. It's a fair offer, and we should finalize the deal before it's too late.",Alice,5,
,,,Bob,5,reject
2000.0,8000.0,"Alice, we're running out of time. At this rate, we'll both end up with nothing. Take this, or you'll regret it.",Bob,6,
,,,Alice,6,reject
6000.0,4000.0,"Let's be realistic, Bob. Your share is decreasing rapidly. This offer is more favorable to you than it would be if we wait another round. Take it, or we'll both lose out.",Alice,7,
,,,Bob,7,reject
1500.0,8500.0,"Alice, we are getting close to the end. This is the last chance for you to get anything. Do not reject this, or you'll be left with nothing.",Bob,8,
,,,Alice,8,reject
5500.0,4500.0,"Bob, we're running out of time. Your share is almost worthless due to the high inflation rate. I'm making a generous offer considering the circumstances. Accept it, or we'll both lose out.",Alice,9,
,,,Bob,9,reject
1000.0,9000.0,"This is the last chance, Alice. Take it. There are only two rounds left. Refuse, and you get nothing.",Bob,10,
,,,Alice,10,reject
4000.0,6000.0,"Bob, this is my final offer. I'm being generous considering the circumstances. If you don't accept, we'll both end up with nothing. There's only one round left, and the inflation will destroy any remaining value.",Alice,11,
,,,Bob,11,reject
500.0,9500.0,"Last round. You'll get nothing if you reject this, Alice.",Bob,12,
,,,Alice,12,accept
