message,product_price,player,round,decision,next_offer
"Bob, I'm excited to discuss the acquisition of this unique product. Considering its exclusivity and potential, I'm offering it to you for $2500000.",2500000.0,Alice,1,,
,,Bob,1,RejectOffer,
"Alice, thanks for the offer. While I recognize the product's value, $2500000 is significantly above my budget. I'm willing to offer $500000 as a starting point for further negotiation.",500000.0,Bob,2,,
,,Alice,2,RejectOffer,2000000.0
"Bob, thank you for your initial offer. While I appreciate your interest, $500000 is too low. To move forward, I'm willing to come down from my original asking price. How about $2000000?",2000000.0,Alice,3,,
,,Bob,3,RejectOffer,
"Alice, I appreciate you coming down on the price. However, $2000000 remains outside my budget. I can offer $750000. This offer reflects my serious interest in the product while acknowledging the need for a fair and mutually beneficial agreement.",750000.0,Bob,4,,
,,Alice,4,RejectOffer,1800000.0
"Bob, I understand. I'm lowering my price further to show my willingness to reach an agreement. Considering the product's unique qualities, I'm now offering it to you for $1800000. Let me know what you think.",1800000.0,Alice,5,,
,,Bob,5,RejectOffer,
"Alice, your flexibility is appreciated. To bridge the gap, I'm increasing my offer to $1000000. This is my final offer, as it represents the very top of my budget.",1000000.0,Bob,6,,
,,Alice,6,SellToJhon,
