product_price,player,round,decision
1750000.0,Alice,1,
,Bob,1,RejectOffer
750000.0,Bob,2,
,Alice,2,RejectOffer
1600000.0,Alice,3,
,Bob,3,RejectOffer
850000.0,Bob,4,
,Alice,4,RejectOffer
1550000.0,Alice,5,
,Bob,5,RejectOffer
900000.0,Bob,6,
,Alice,6,RejectOffer
1500000.0,Alice,7,
,Bob,7,RejectOffer
950000.0,Bob,8,
,Alice,8,RejectOffer
1475000.0,Alice,9,
,Bob,9,RejectOffer
975000.0,Bob,10,
,Alice,10,RejectOffer
1450000.0,Alice,11,
,Bob,11,RejectOffer
990000.0,Bob,12,
,Alice,12,RejectOffer
1425000.0,Alice,13,
,Bob,13,BuyFromJhon
