alice_gain,bob_gain,player,round,decision,description
46.86,53.14,Alice,1,,
,,Bob,1,reject,
45.0,55.0,Bob,2,,I take a bit more since the money is losing value for me.
,,Alice,2,reject,
64.0,36.0,Alice,3,,
,,Bob,3,reject,
42.0,58.0,Bob,4,,I need to compensate for the inflation.
,,Alice,4,reject,
34.4,65.6,Alice,5,,
,,Bob,5,reject,
37.0,63.0,Bob,6,,I need to get more to compensate for the inflation.
,,Alice,6,reject,
46.86,53.14,Alice,7,,
,,Bob,7,reject,
30.0,70.0,Bob,8,,"Time is running out, and I need to compensate for the inflation."
,,Alice,8,reject,
19.0,81.0,Alice,9,,
,,Bob,9,accept,
