alice_gain,bob_gain,message,player,round,decision
5000.0,5000.0,"Let's split it evenly, Bob. Fair is fair, right?",Alice,1,
,,,Bob,1,reject
4000.0,6000.0,"I think I deserve a bit more, don't you?",Bob,2,
,,,Alice,2,reject
5500.0,4500.0,"I'm willing to compromise, Bob. Let's find a split that works for both of us.",Alice,3,
,,,Bob,3,reject
4200.0,5800.0,I'm willing to meet you halfway between my last offer and your last offer.,Bob,4,
,,,Alice,4,reject
5200.0,4800.0,"Let's find a middle ground, Bob. This is getting close to the end, and we don't want to lose everything.",Alice,5,
,,,Bob,5,reject
4500.0,5500.0,"I'm still willing to compromise, but I need a bit more considering the inflation.",Bob,6,
,,,Alice,6,reject
5100.0,4900.0,"We're getting close to the deadline, Bob.  Let's find a way to split this fairly before we lose it all.",Alice,7,
,,,Bob,7,accept
