message,product_price,player,round,decision,counteroffer
"Hello Bob, I'm excited to offer you this unique product. I believe it has great value and I'm looking for a serious buyer. I'm starting with a competitive price.",1500000.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hello Alice, thanks for your offer. While I appreciate the product's potential, $1500000 is a bit too high for my budget. I'm willing to offer $800000.",800000.0,Bob,2,,
,,Alice,2,RejectOffer,1200000.0
"Hello Bob, thank you for your offer. I understand that $1500000 might be out of your budget, but $800000 is too low for me. I'm willing to negotiate, but I need to ensure I get a fair price. I'm meeting you halfway between my initial offer and your counteroffer.",1400000.0,Alice,3,,
,,Bob,3,RejectOffer,
"Alice, I appreciate you moving on the price.  However, $1400000 still stretches my budget. I can go up to $950000.  This is a significant increase from my previous offer and reflects my serious interest in acquiring the product.",950000.0,Bob,4,,
,,Alice,4,RejectOffer,1250000.0
"Hello Bob, I appreciate your increased offer of $950000, and I'm glad to see you're serious about the product. However, I still need to ensure I get a fair price. Considering your last offer and the product's value, I'm willing to slightly reduce my previous counteroffer to meet you closer to the middle ground.",1250000.0,Alice,5,,
,,Bob,5,RejectOffer,
"Alice, thanks for continuing to negotiate. $1250000 is getting closer, but I'm still aiming for a price closer to my budget.  I can offer $1050000.  This represents a substantial compromise on my end.",1050000.0,Bob,6,,
,,Alice,6,RejectOffer,1175000.0
"Hello Bob, I appreciate your latest offer of $1050000, which shows you're committed to finding a mutually beneficial price. I'm willing to continue negotiating to ensure we can reach an agreement. Considering your last offer and the product's value, I'm reducing my price slightly to $1175000. This is a serious concession on my part, and I hope it demonstrates my willingness to work with you towards a deal.",1175000.0,Alice,7,,
,,Bob,7,RejectOffer,
"Alice, I appreciate your willingness to work with me.  $1175000 is still a little high.  My final offer is $1100000. If we can agree on this, I'm ready to close the deal.",1100000.0,Bob,8,,
,,Alice,8,RejectOffer,1150000.0
"Hello Bob, I understand that $1100000 is your final offer, but I'm hoping we can find a middle ground. I'm making a small concession from my previous offer, bringing the price down to $1150000. This is as low as I'm comfortable going, considering the product's value and the offer from John. If you're truly interested in acquiring the product, I believe this price is reasonable and reflects a fair compromise between us.",1150000.0,Alice,9,,
,,Bob,9,RejectOffer,
"Alice, I understand this is your bottom line.  I'm willing to meet you halfway.  My absolute best and final offer is $1125000.  Let me know if this works for you, otherwise I will have to go with John's offer.",1125000.0,Bob,10,,
,,Alice,10,SellToJhon,
