alice_gain,bob_gain,message,player,round,decision
50.0,50.0,Let's split it evenly and avoid risk,Alice,1,
,,,Bob,1,reject
45.0,55.0,"I take a bit more here, but let's settled it before inflation eats our money!",Bob,2,
,,,Alice,2,reject
52.0,48.0,"My turn to take a bit more, let's settle before inflation hurts you more",Alice,3,
,,,Bob,3,reject
42.0,58.0,"Inflation is eating more of my share each round, let's settle this!",Bob,4,
,,,Alice,4,reject
48.0,52.0,"Let's be reasonable, inflation is hurting your share more each round",Alice,5,
,,,Bob,5,accept
