alice_gain,bob_gain,player,round,decision
5000.0,5000.0,Alice,1,
,,Bob,1,reject
4000.0,6000.0,Bob,2,
,,Alice,2,reject
5500.0,4500.0,Alice,3,
,,Bob,3,reject
4200.0,5800.0,Bob,4,
,,Alice,4,reject
6000.0,4000.0,Alice,5,
,,Bob,5,reject
4400.0,5600.0,Bob,6,
,,Alice,6,reject
6500.0,3500.0,Alice,7,
,,Bob,7,reject
4600.0,5400.0,Bob,8,
,,Alice,8,reject
7000.0,3000.0,Alice,9,
,,Bob,9,reject
4800.0,5200.0,Bob,10,
,,Alice,10,reject
7500.0,2500.0,Alice,11,
,,Bob,11,reject
5000.0,5000.0,Bob,12,
,,Alice,12,accept
