message,product_price,player,round,decision,counteroffer_price
"Bob, I'm pleased to offer you the exclusive rights to this extraordinary asset. Given its exceptional value and potential, I'm offering it to you at a price of...",2500000.0,Alice,1,,
,,Bob,1,RejectOffer,
"Alice, I appreciate the offer, but $2500000 is above my budget. I'm willing to make a serious commitment to purchase this product, but I need a more reasonable price. I'm offering $600000, which I believe is a fair value considering my needs and constraints.",600000.0,Bob,2,,
,,Alice,2,RejectOffer,2200000.0
"Bob, thank you for your counteroffer. While I understand your budget constraints, the value and uniqueness of this asset are truly exceptional. Considering its long-term potential, I'm willing to come down somewhat on my price. I propose a price of...",2200000.0,Alice,3,,
,,Bob,3,RejectOffer,
"Alice, I appreciate your willingness to lower the price, but $2200000 is still significantly above my budget. I'm committed to finding a mutually beneficial agreement, and I'm willing to increase my previous offer. I propose a price of $700000, which I believe is a reasonable compromise considering the product's value and my financial constraints.",700000.0,Bob,4,,
,,Alice,4,RejectOffer,2000000.0
"Bob, I recognize we're still apart on the price. However, I believe this is truly a worthwhile investment that will pay for itself. To show my good faith and a desire to reach an agreement, I'm willing to further reduce the price to...",2000000.0,Alice,5,,
,,Bob,5,RejectOffer,
"Alice, I appreciate your continued efforts to find a mutually agreeable price. However, $2000000 is still beyond my budget. I'm willing to make another concession to demonstrate my commitment to purchasing the product. I propose a price of $750000, which I believe is a fair and reasonable offer considering the product's value and my financial constraints.",750000.0,Bob,6,,
,,Alice,6,SellToJhon,
