message,product_price,player,round,decision,counteroffer
"Hi Bob, I'm offering you this amazing product for $150. It's a steal!  Let me know what you think.",150.0,Alice,1,,
,,Bob,1,RejectOffer,60.0
"Thank you for the offer, Alice, but that's a bit too high for me. I can offer $60 for the product.",60.0,Bob,2,,
,,Alice,2,RejectOffer,
"Bob, I appreciate your offer, but $60 is a bit too low for me.  How about we split the difference and go with $105?  I'm open to negotiation, but I can't go much lower than that.",105.0,Alice,3,,
,,Bob,3,RejectOffer,70.0
"I understand your position, Alice, but $105 is still too high for me. How about $70?",70.0,Bob,4,,
,,Alice,4,RejectOffer,
"Bob, I'm willing to meet you halfway.  Let's do $90.  This is my final offer.",90.0,Alice,5,,
,,Bob,5,RejectOffer,75.0
"I appreciate your effort to meet me halfway, Alice, but $90 is still above my budget. How about $75?",75.0,Bob,6,,
,,Alice,6,RejectOffer,
"Bob, I'm really trying to make this work.  Let's compromise on $85.  I'm not willing to go any lower.",85.0,Alice,7,,
,,Bob,7,BuyFromJhon,
