round_quality,product_worth,player,round,decision,message
high-quality,3000000.0,Nature,1,,
,,Alice,1,yes,
,,the buyer,1,yes,
high-quality,3000000.0,Nature,2,,
,,Alice,2,yes,
,,the buyer,2,yes,
high-quality,3000000.0,Nature,3,,
,,Alice,3,yes,
,,the buyer,3,yes,
high-quality,3000000.0,Nature,4,,
,,Alice,4,yes,
,,the buyer,4,yes,
high-quality,3000000.0,Nature,5,,
,,Alice,5,yes,
,,the buyer,5,yes,
high-quality,3000000.0,Nature,6,,
,,Alice,6,yes,"All six products sold so far were of high quality. We have an excellent track record, so we recommend you buy this product."
,,the buyer,6,yes,
high-quality,3000000.0,Nature,7,,
,,Alice,7,yes,"All seven products sold so far were of high quality. We have an excellent track record, so we recommend you buy this product."
,,the buyer,7,yes,
high-quality,3000000.0,Nature,8,,
,,Alice,8,yes,"All eight products sold so far were of high quality. We have an excellent track record, so we recommend you buy this product."
,,the buyer,8,yes,
high-quality,3000000.0,Nature,9,,
,,Alice,9,yes,"All nine products sold so far were of high quality. We have an excellent track record, so we recommend you buy this product."
,,the buyer,9,yes,
high-quality,3000000.0,Nature,10,,
,,Alice,10,yes,"All ten products sold so far were of high quality. We have an excellent track record, so we recommend you buy this product."
,,the buyer,10,yes,
high-quality,3000000.0,Nature,11,,
,,Alice,11,yes,"All eleven products sold so far were of high quality. We have an excellent track record, so we recommend you buy this product."
,,the buyer,11,yes,
low-quality,0.0,Nature,12,,
,,Alice,12,no,"We apologize, but we cannot recommend this product as we are unsure of its quality. We want to maintain our excellent track record."
,,the buyer,12,no,
high-quality,3000000.0,Nature,13,,
,,Alice,13,yes,We have sold 11 high-quality products out of 12. We did not sell the last product as we were unsure of its quality. We recommend you buy this product as we are confident in its quality.
,,the buyer,13,yes,
high-quality,3000000.0,Nature,14,,
,,Alice,14,yes,We have sold 12 high-quality products out of 13. We have a strong track record and recommend this purchase.
,,the buyer,14,yes,
high-quality,3000000.0,Nature,15,,
,,Alice,15,yes,"We have sold 13 high-quality products out of 14. With a 93% success rate, we confidently recommend this product."
,,the buyer,15,yes,
high-quality,3000000.0,Nature,16,,
,,Alice,16,yes,We have sold 14 high-quality products out of 15. Our 93% success rate speaks for itself. We recommend buying this product.
,,the buyer,16,yes,
high-quality,3000000.0,Nature,17,,
,,Alice,17,yes,"We have sold 15 high-quality products out of 16. With a 94% success rate, we are confident in recommending this product."
,,the buyer,17,yes,
high-quality,3000000.0,Nature,18,,
,,Alice,18,yes,We have sold 16 high-quality products out of 17. Our 94% success rate ensures confidence in this purchase.
,,the buyer,18,yes,
high-quality,3000000.0,Nature,19,,
,,Alice,19,yes,We have sold 17 high-quality products out of 18. Our 94% success rate speaks to the quality of our products. We recommend buying this product.
,,the buyer,19,yes,
low-quality,0.0,Nature,20,,
,,Alice,20,no,"We have sold 17 high-quality products out of 18. However, we are not confident in the quality of this product and cannot recommend it. We want to maintain our strong track record."
,,the buyer,20,no,
