message,product_price,player,round,decision,counteroffer
Hi Bob! I have this amazing product I think you'd love. I'm asking $250 for it.,250.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hi Alice, thanks for offering the product! $250 seems a bit steep for me. Would you consider $80?",80.0,Bob,2,,
,,Alice,2,RejectOffer,200.0
"Thanks for the offer, Bob. I appreciate it, but I can't go down that far. How about $200?",200.0,Alice,3,,
,,Bob,3,RejectOffer,
"I understand, Alice. It's a nice product, but $200 is still a bit high for my budget. Could you do $100?",100.0,Bob,4,,
,,Alice,4,RejectOffer,175.0
"Bob, I understand you're on a budget. How about we meet in the middle at $175? That's my final offer.",175.0,Alice,5,,
,,Bob,5,BuyFromJhon,
