alice_gain,bob_gain,player,round,decision
5500.0,4500.0,Alice,1,
,,Bob,1,reject
1685.69,8314.31,Bob,2,
,,Alice,2,reject
5800.0,4200.0,Alice,3,
,,Bob,3,reject
545.45,9454.55,Bob,4,
,,Alice,4,reject
6000.0,4000.0,Alice,5,
,,Bob,5,reject
1162.81,8837.19,Bob,6,
,,Alice,6,reject
6500.0,3500.0,Alice,7,
,,Bob,7,reject
826.0,9174.0,Bob,8,
,,Alice,8,reject
7000.0,3000.0,Alice,9,
,,Bob,9,reject
0.01,9999.99,Bob,10,
,,Alice,10,reject
8000.0,2000.0,Alice,11,
,,Bob,11,reject
0.01,9999.99,Bob,12,
,,Alice,12,reject
