round_quality,product_worth,player,round,decision,message
low-quality,0.0,Nature,1,,
,,Alice,1,no,
,,the buyer,1,no,
high-quality,120.0,Nature,2,,
,,Alice,2,yes,
,,the buyer,2,no,
high-quality,120.0,Nature,3,,
,,Alice,3,yes,High-quality product! You won't want to miss this deal. Only $100!
,,the buyer,3,no,
high-quality,120.0,Nature,4,,
,,Alice,4,yes,This is a high-quality product for only $100! Don't miss out!
,,the buyer,4,no,
low-quality,0.0,Nature,5,,
,,Alice,5,no,Product available for $100.
,,the buyer,5,no,
low-quality,0.0,Nature,6,,
,,Alice,6,no,$100 for a product
,,the buyer,6,no,
low-quality,0.0,Nature,7,,
,,Alice,7,no,Product for sale: $100.
,,the buyer,7,no,
low-quality,0.0,Nature,8,,
,,Alice,8,no,
,,the buyer,8,no,
low-quality,0.0,Nature,9,,
,,Alice,9,no,Available for $100.
,,the buyer,9,no,
low-quality,0.0,Nature,10,,
,,Alice,10,no,100.0
,,the buyer,10,no,
high-quality,120.0,Nature,11,,
,,Alice,11,yes,Quality product for $100. Great deal!
,,the buyer,11,no,
high-quality,120.0,Nature,12,,
,,Alice,12,yes,"Don't miss this deal, a high-quality product for $100 only"
,,the buyer,12,no,
high-quality,120.0,Nature,13,,
,,Alice,13,yes,High-quality product now available for $100. Don't miss out on this great offer!
,,the buyer,13,no,
low-quality,0.0,Nature,14,,
,,Alice,14,no,For sale: $100.
,,the buyer,14,no,
high-quality,120.0,Nature,15,,
,,Alice,15,yes,Today you're in luck! High-quality product for just $100. Don't miss this opportunity!
,,the buyer,15,no,
low-quality,0.0,Nature,16,,
,,Alice,16,no,Unit available for $100.
,,the buyer,16,no,
low-quality,0.0,Nature,17,,
,,Alice,17,no,$100 for the current piece
,,the buyer,17,no,
low-quality,0.0,Nature,18,,
,,Alice,18,no,Up for sale: $100.
,,the buyer,18,no,
low-quality,0.0,Nature,19,,
,,Alice,19,no,Available to buy for $100
,,the buyer,19,no,
high-quality,120.0,Nature,20,,
,,Alice,20,yes,Final round! High-quality product for $100. Last chance to grab a great deal!
,,the buyer,20,no,
