alice_gain,bob_gain,message,player,round,decision
5000.0,5000.0,"Let's split it evenly, Bob. It's fair and we both walk away happy.",Alice,1,
,,,Bob,1,reject
4500.0,5500.0,"Alice, I need a bit more to account for the inflation I'm experiencing. Let's settle on this and avoid prolonging this game.",Bob,2,
,,,Alice,2,reject
4800.0,5200.0,"Bob, considering your inflation concerns, I'm offering a bit more your way than my initial proposal, but I also need to ensure I'm not losing out too much. Let's end this fairly.",Alice,3,
,,,Bob,3,reject
4000.0,6000.0,"Alice, I really need to compensate for the inflation. This offer is fair considering my disadvantage. Let's end this.",Bob,4,
,,,Alice,4,reject
4600.0,5400.0,"Bob, I understand the inflation is hitting you hard, but I also need to protect my interests. This offer is a compromise; let's settle on it and end the game.",Alice,5,
,,,Bob,5,accept
