alice_gain,bob_gain,message,player,round,decision
900000.0,100000.0,"Bob, I'm giving you a generous offer considering the time we have. Take it or leave it!",Alice,1,
,,,Bob,1,reject
450000.0,550000.0,"Alice, let's be fair. This offer considers the devaluation of money for me. Accept it and we both walk away happy!",Bob,2,
,,,Alice,2,reject
800000.0,200000.0,"Bob, after considering your last offer, I'm giving you another chance. This is my final offer, and I believe it's still very reasonable. Don't make a mistake!",Alice,3,
,,,Bob,3,reject
500000.0,500000.0,"Alice, let's be reasonable and split it equally. It's a fair deal considering the circumstances. Let's end this game on a good note!",Bob,4,
,,,Alice,4,reject
700000.0,300000.0,"Bob, I'm trying to be as fair as possible given the dwindling time and the impact of inflation. This is a more than fair offer.",Alice,5,
,,,Bob,5,reject
550000.0,450000.0,"Alice, I understand your perspective, but we need to consider the impact of inflation on me. This offer is fair and benefits both of us. Let's settle this!",Bob,6,
,,,Alice,6,reject
600000.0,400000.0,"Bob, this is a final, final offer. Take it or neither of us gets anything. Think carefully, the clock is ticking.",Alice,7,
,,,Bob,7,accept
