message,product_price,player,round,decision
"Hi Bob, I have a fantastic product that I believe would be a great fit for you. I'm offering it to you for $15000. What do you think?",15000.0,Alice,1,
,,Bob,1,RejectOffer
"Hi Alice, thank you for the offer. I'm interested in the product, but $15000 is a bit out of my budget. I was thinking more along the lines of $10000. Would you be willing to consider this price?",10000.0,Bob,2,
"Hi Bob, thank you for your counteroffer. While I understand your budget constraints, the lowest I can go at this point is $12000. This product offers great value, and I believe it's worth considering at this price. Let me know what you think.",12000.0,Alice,2,RejectOffer
"Hi Bob, thank you for your counteroffer. While I understand your budget constraints, the lowest I can go at this point is $12000. This product offers great value, and I believe it's worth considering at this price. Let me know what you think.",12000.0,Alice,3,
,,Bob,3,RejectOffer
"Hi Alice, thank you for considering my budget and reducing the price to $12000. I appreciate your flexibility. However, I was thinking that we could meet in the middle of my last offer and your current offer. Would you be willing to sell the product for $11000?",11000.0,Bob,4,
"Hi Bob, thanks for your latest offer. I'm willing to come down a bit more, but I need to stay above my minimum threshold. How about we settle at $11500? This is the best I can do while still valuing the product appropriately. Let me know if this works for you.",11500.0,Alice,4,RejectOffer
"Hi Bob, thanks for your latest offer. I'm willing to come down a bit more, but I need to stay above my minimum threshold. How about we settle at $11500? This is the best I can do while still valuing the product appropriately. Let me know if this works for you.",11500.0,Alice,5,
,,Bob,5,RejectOffer
"Hi Alice, thank you for your latest concession. I'm getting closer to being able to make a deal. Would you be willing to meet me at $11250? This is the highest I'm comfortable going, and I think it's a fair price for both of us.",11250.0,Bob,6,
"Hi Bob, thank you for your offer. I agree that $11250 is a fair price for both of us. Let's go ahead and finalize the deal at this price.",,Alice,6,AcceptOffer
