message,product_price,player,round,decision,counter_offer
"Hi Bob, I have a product I think you might be interested in. I'm willing to sell it to you for $120.",120.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hi Alice, thank you for the offer. I'm interested in the product, but I was thinking more along the lines of $90. Would you be willing to sell it to me for that price?",90.0,Bob,2,,
,,Alice,2,RejectOffer,110.0
"Thanks for the counteroffer, Bob. I appreciate your interest. How about we meet in the middle at $110?",110.0,Alice,3,,
,,Bob,3,RejectOffer,
"Hi Alice, I appreciate your willingness to compromise. I'm still a bit above my budget, so I was thinking $100 would be a fair price. Would you be willing to sell it to me for that?",100.0,Bob,4,,
,,Alice,4,RejectOffer,105.0
"Bob, I understand. How about $105? That's the lowest I can go.",105.0,Alice,5,,
,,Bob,5,AcceptOffer,
