alice_gain,bob_gain,message,player,round,decision
650000.0,350000.0,"Let's start with a reasonable offer, Bob. This gives us both a good share.",Alice,1,
,,,Bob,1,reject
400000.0,600000.0,"Alice, let's be fair. We both lose value each round. This is a more balanced split.",Bob,2,
,,,Alice,2,reject
580000.0,420000.0,"Bob, my turn to propose something more balanced. We both lose with time, so let's be reasonable.",Alice,3,
,,,Bob,3,reject
450000.0,550000.0,"Alice, time is running out and we're both losing value. I'm compromising slightly. Let's agree on this split.",Bob,4,
,,,Alice,4,reject
550000.0,450000.0,"Bob, I'm meeting you halfway. This is a fair deal considering the time pressure.",Alice,5,
,,,Bob,5,reject
480000.0,520000.0,"Alice, we're both losing big now. This is my final offer. Take it or we both get nothing.",Bob,6,
,,,Alice,6,accept
