message,product_price,player,round,decision,counter_offer
"Hello Bob, I have a unique product that I think you'd be very interested in. I'm offering it to you for $20000.",20000.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hello Alice, thank you for the offer. However, $20000 is out of my budget. I'm willing to pay $4000 for the product.",4000.0,Bob,2,,
,,Alice,2,RejectOffer,18000.0
"Bob, I appreciate your interest, but I can't go that low. How about $18000?",18000.0,Alice,3,,
,,Bob,3,RejectOffer,
"Hello Alice, I appreciate the discount, but $18000 is still too high for me. I'm willing to increase my previous offer to $6000 for the product.",6000.0,Bob,4,,
,,Alice,4,RejectOffer,15000.0
"Bob, I'm trying to find a price that works for both of us. Considering the product's value, I can't go lower than $15000.",15000.0,Alice,5,,
,,Bob,5,RejectOffer,
"Hello Alice, I appreciate your efforts to find a mutually agreeable price. However, $15000 is still above my budget. I'm willing to increase my previous offer to $7000 for the product, which is the highest I'm willing to go before considering other options.",7000.0,Bob,6,,
,,Alice,6,SellToJhon,
