product_price,player,round,decision
2000000.0,Alice,1,
,Bob,1,RejectOffer
500000.0,Bob,2,
,Alice,2,RejectOffer
1800000.0,Alice,3,
,Bob,3,RejectOffer
650000.0,Bob,4,
,Alice,4,RejectOffer
1600000.0,Alice,5,
,Bob,5,RejectOffer
750000.0,Bob,6,
,Alice,6,RejectOffer
1400000.0,Alice,7,
,Bob,7,RejectOffer
800000.0,Bob,8,
,Alice,8,RejectOffer
1200000.0,Alice,9,
,Bob,9,RejectOffer
850000.0,Bob,10,
,Alice,10,RejectOffer
1100000.0,Alice,11,
,Bob,11,RejectOffer
900000.0,Bob,12,
,Alice,12,RejectOffer
1050000.0,Alice,13,
,Bob,13,RejectOffer
950000.0,Bob,14,
,Alice,14,RejectOffer
1025000.0,Alice,15,
,Bob,15,RejectOffer
975000.0,Bob,16,
,Alice,16,RejectOffer
1012500.0,Alice,17,
,Bob,17,RejectOffer
985000.0,Bob,18,
,Alice,18,RejectOffer
1007500.0,Alice,19,
,Bob,19,RejectOffer
990000.0,Bob,20,
,Alice,20,RejectOffer
1005000.0,Alice,21,
,Bob,21,BuyFromJhon
