alice_gain,bob_gain,player,round,decision
7000.0,3000.0,Alice,1,
,,Bob,1,reject
4500.0,5500.0,Bob,2,
,,Alice,2,reject
6500.0,3500.0,Alice,3,
,,Bob,3,reject
4750.0,5250.0,Bob,4,
,,Alice,4,reject
6000.0,4000.0,Alice,5,
,,Bob,5,reject
4875.0,5125.0,Bob,6,
,,Alice,6,reject
5800.0,4200.0,Alice,7,
,,Bob,7,reject
4925.0,5075.0,Bob,8,
,,Alice,8,reject
5700.0,4300.0,Alice,9,
,,Bob,9,reject
4950.0,5050.0,Bob,10,
,,Alice,10,reject
5600.0,4400.0,Alice,11,
,,Bob,11,reject
4975.0,5025.0,Bob,12,
,,Alice,12,reject
