message,product_price,player,round,decision,counteroffer
"Hello Bob, I'm excited to offer you this unique product. I believe it has great value and I'm looking for a serious buyer. I'm starting with a competitive price.",3000000.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thank you for the offer, Alice. However, I was thinking of a price point that is more aligned with my budget. Let's start with $750000.",750000.0,Bob,2,,
,,Alice,2,RejectOffer,2750000.0
"Thank you for your counteroffer, Bob. I understand that you're looking for a better price, and I'm willing to negotiate. However, I still believe the product's value is higher than your offer. I'm reducing the price from my initial offer, but I need to ensure I get a fair deal.",2750000.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate your willingness to negotiate, Alice. However, I need to stay within my budget. Let's meet in the middle at $1000000.",1000000.0,Bob,4,,
,,Alice,4,RejectOffer,2375000.0
"Bob, I appreciate your effort to meet in the middle, but I still need to ensure I get a fair price for the product. I'm willing to continue negotiating and have reduced the price further to $2375000. I believe this is a reasonable compromise, considering the product's value and our previous discussions.",2375000.0,Alice,5,,
,,Bob,5,BuyFromJhon,
