message,product_price,player,round,decision,counteroffer
"Hello Bob, I'm excited to offer you this unique product. I believe it has great value and I'm looking for a serious buyer. I'm starting with a competitive price.",3000000.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hello Alice, thank you for your offer. However, I believe the price is a bit too high for my budget. I'm interested in the product, but I'd like to propose a more reasonable price.",900000.0,Bob,2,,
,,Alice,2,RejectOffer,2500000.0
"Hello Bob, thank you for your counteroffer. I understand that you're looking for a better price, and I'm willing to negotiate. However, $900000 is still a bit too low for me. I'm reducing the price, but I need to ensure I get a fair deal. Let's meet in the middle and discuss the details.",2500000.0,Alice,3,,
,,Bob,3,RejectOffer,
"Hello Alice, I appreciate your willingness to negotiate. However, $2500000 is still above my budget. I'm willing to increase my previous offer, but I need a more competitive price. Let's continue the discussion.",1200000.0,Bob,4,,
,,Alice,4,RejectOffer,2200000.0
"Hello Bob, I appreciate your increased offer of $1200000. It shows you're serious about acquiring the product. I'm willing to continue negotiating and find a mutually beneficial price. I've reduced my previous offer to $2200000, which I believe is a fair price considering the product's value and our ongoing discussion. Let's work together to close this deal.",2200000.0,Alice,5,,
,,Bob,5,RejectOffer,
"Hello Alice, I appreciate your continued efforts to find a mutually beneficial price. However, $2200000 is still higher than I'm willing to pay. I'm willing to increase my previous offer again, but I need to ensure it's within my budget. Let's see if we can meet closer to the middle.",1400000.0,Bob,6,,
,,Alice,6,RejectOffer,2000000.0
"Hello Bob, thank you for your increased offer of $1400000. I see that we're getting closer to a mutually agreeable price. I'm willing to make another concession to facilitate the sale. I'm reducing my offer to $2000000, which is a significant decrease from my initial price. Considering your interest in the product and our ongoing negotiation, I believe this price is reasonable. Let's finalize the deal at this price.",2000000.0,Alice,7,,
,,Bob,7,RejectOffer,
"Hello Alice, I appreciate your continued concessions and willingness to negotiate. However, $2000000 is still above my target price. Considering our progress and my strong interest in the product, I'm willing to make another increased offer. I believe we're close to a mutually beneficial agreement.",1450000.0,Bob,8,,
,,Alice,8,RejectOffer,1750000.0
"Hello Bob, I appreciate your latest offer of $1450000 and the effort you're putting into finding a mutually agreeable price. I'm also committed to making this deal work. After careful consideration, I'm willing to make a significant concession. I'm reducing my price to $1750000, which is a substantial decrease from my previous offers. I believe this price reflects the product's value and our negotiation progress. If we can't agree on this price, I have another buyer interested at a similar price point, and I need to consider their offer as well. Let's work together to finalize the deal.",1750000.0,Alice,9,,
,,Bob,9,RejectOffer,
"Hello Alice, I appreciate your significant concession and the effort to find a mutually agreeable price. However, considering the product's value to me and the alternative option I have, I'm willing to make one final offer. I believe this price is fair and reflects our negotiation progress.",1500000.0,Bob,10,,
,,Alice,10,AcceptOffer,
