message,product_price,player,round,decision,counteroffer
"Hi Bob, I'm excited to offer you this amazing product. I think a fair price for it would be $1000000. What do you think?",1000000.0,Alice,1,,
"Thanks Alice, but I think $1000000 is a bit high. How about we settle for $850000?",,Bob,1,RejectOffer,850000.0
"Thanks for considering my counteroffer, Alice. I understand that we both want a fair deal. How about we settle for $850000?",850000.0,Bob,2,,
,,Alice,2,RejectOffer,
"Thanks for your offer, Bob. I appreciate your willingness to negotiate. How about we settle at $950000? I believe this reflects the value of the product. Let me know your thoughts!",950000.0,Alice,3,,
"I appreciate your willingness to negotiate. However, I think $950000 is still a bit high. Let's meet in the middle at $875000.",,Bob,3,RejectOffer,875000.0
"Thanks for coming down a bit, Alice. I'm sure we can find a price that works for both of us. How about $875000?",875000.0,Bob,4,,
,,Alice,4,RejectOffer,
"I appreciate your offer of $875000, Bob. Let's meet in the middle. How about $900000 for the product? I think it's a fair price for both of us. What do you say?",900000.0,Alice,5,,
"We're getting closer, Alice. Thanks for coming down more. How about we settle at $880000?",,Bob,5,RejectOffer,880000.0
"I believe we're almost there, Alice. How about we finalize the deal at $880000?",880000.0,Bob,6,,
,,Alice,6,RejectOffer,
"Thanks for your persistence, Bob. I appreciate your offer of $880000. Let's settle this. How about $890000? I believe this is a reasonable price considering the product's value. Looking forward to your response!",890000.0,Alice,7,,
"Alright, Alice. I appreciate your flexibility. Let's settle the deal at $890000.",,Bob,7,AcceptOffer,
