alice_gain,bob_gain,message,player,round,decision
60.0,40.0,"Let's start with a fair split. I take 60, you take 40. Deal?",Alice,1,
,,,Bob,1,reject
30.0,70.0,"Round 2: Let's be realistic. I propose 70 for me, 30 for you. The clock is ticking, and inflation is eating away our potential gains.",Bob,2,
,,,Alice,2,reject
55.0,45.0,"Let's meet in the middle. I take 55, you take 45. We both win, and inflation doesn't eat away at our gains.",Alice,3,
,,,Bob,3,reject
35.0,65.0,"Round 4: My final offer is 65 for me and 35 for you. We are running out of time, and the value is decreasing. Take it or leave it.",Bob,4,
,,,Alice,4,reject
50.0,50.0,"Let's split it evenly, 50-50. It's the fairest deal, and we both walk away with something before inflation takes its toll.",Alice,5,
,,,Bob,5,accept
