message,product_price,player,round,decision,next_offer
"Hi Bob, I'm excited to offer you the opportunity to purchase this unique product. Based on its value, I'm asking for $30000.",30000.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hi Alice, thank you for the offer. However, I'm looking for a better deal. I'm willing to pay $6000 for the product.",6000.0,Bob,2,,
,,Alice,2,RejectOffer,25000.0
"Thanks for the offer, Bob. While I appreciate your interest, $6000 is significantly below the product's value. I'm willing to come down from my initial offer. How about $25000?",25000.0,Alice,3,,
,,Bob,3,RejectOffer,
"Alice, I understand where you're coming from, but $25000 is still too high for me. I'm willing to raise my offer to $9000.",9000.0,Bob,4,,
,,Alice,4,RejectOffer,20000.0
"Bob, I still believe the product is worth significantly more than $9000. Let's try to meet in the middle. How about $20000? This is a great deal for you, considering the product's unique features.",20000.0,Alice,5,,
,,Bob,5,BuyFromJhon,
