alice_gain,bob_gain,message,player,round,decision
650000.0,350000.0,Let's start with a reasonable offer. I believe this split is fair and benefits us both.,Alice,1,
,,,Bob,1,reject
400000.0,600000.0,"My turn, a bit more balanced, don't you think?",Bob,2,
,,,Alice,2,reject
550000.0,450000.0,"I understand you want a larger share, but your previous offer wasn't fair to me. This is a compromise.",Alice,3,
,,,Bob,3,reject
300000.0,700000.0,"Inflation is eating away at our money, let's settle before it's too late",Bob,4,
,,,Alice,4,reject
500000.0,500000.0,"Bob, let's be realistic. Inflation is hurting us both. A 50/50 split is the fairest and fastest way to settle this.",Alice,5,
,,,Bob,5,accept
