message,product_price,player,round,decision,counteroffer
"Bob, I'm thrilled to offer you this extraordinary product. Given its unparalleled quality and exclusivity, I'm proposing a price that reflects its true value.",2500000.0,Alice,1,,
,,Bob,1,RejectOffer,
"Alice, I appreciate the offer, but $2500000 is above my budget. I'm interested in the product, and I believe we can find a mutually beneficial price. I'd like to propose a counteroffer.",800000.0,Bob,2,,
,,Alice,2,RejectOffer,2200000.0
"Bob, thanks for the counteroffer. I understand you have a budget in mind. While I can't go down to $800000, I'm willing to meet you closer to your offer. I believe this product is worth more, but I'm also keen on reaching an agreement. How about:",2200000.0,Alice,3,,
,,Bob,3,RejectOffer,
"Alice, I appreciate your willingness to lower the price. However, $2200000 is still above what I'm comfortable paying. I'm interested in finding a middle ground. Considering my initial offer and your adjustment, I'd like to propose another counteroffer.",900000.0,Bob,4,,
,,Alice,4,RejectOffer,2000000.0
"Bob, I understand your position, and I appreciate you continuing to negotiate. While I'm eager to reach an agreement, I can't go quite as low as your offer. However, to show my commitment to closing this deal, I'm willing to come down further. My final offer is:",2000000.0,Alice,5,,
,,Bob,5,BuyFromJhon,
