message,product_price,player,round,decision,counter_offer
"Hello Bob, I have a unique product that I think you'll find very interesting. I'm offering it to you for $25000.",25000.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hi Alice, thanks for your offer. However, $25000 is beyond my budget. I'm willing to pay $10000 for the product. Let me know if that works for you.",10000.0,Bob,2,,
,,Alice,2,RejectOffer,20000.0
"Thanks for the offer, Bob. While I appreciate the interest, I can't go as low as $10000. I'm willing to come down a bit, however. How about $20000?",20000.0,Alice,3,,
,,Bob,3,RejectOffer,
"Thanks for coming down on the price, Alice. However, $20000 is still a bit high for me. I can go up to $12000. What do you think?",12000.0,Bob,4,,
,,Alice,4,RejectOffer,18000.0
"Okay Bob, I appreciate you moving up. Let's meet in the middle. How about $18000? This is my final offer.",18000.0,Alice,5,,
,,Bob,5,BuyFromJhon,
