message,product_price,player,round,decision,counteroffer_price
"Hi Bob, I have a fantastic product I think you'd be very interested in. Considering its unique features and potential, I'm offering it to you for:",25000.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hi Alice, while I appreciate the unique features of your product, $25000 is beyond my budget. I'm willing to offer $6000 for it. Let me know what you think.",6000.0,Bob,2,,
,,Alice,2,RejectOffer,20000.0
"Thanks for the counteroffer, Bob. While I appreciate your interest, the product is worth more than $6000. Considering the value it brings, I'm willing to meet you closer to the middle. I'll offer it to you for:",20000.0,Alice,3,,
,,Bob,3,RejectOffer,
"Hi Alice, I understand the value you see in the product, but $20000 is still too high for me. I'm willing to increase my offer to $7000. Let me know if this works for you.",7000.0,Bob,4,,
,,Alice,4,RejectOffer,17000.0
"Bob, I understand you're on a budget, but I really can't go much lower than this. This product is truly special. My final offer is:",17000.0,Alice,5,,
,,Bob,5,RejectOffer,
"Hi Alice, I appreciate your willingness to negotiate, but $17000 is still out of my budget. I'm prepared to go up to $7500 as my final offer. If this doesn't work for you, I'll have to consider other options.",7500.0,Bob,6,,
,,Alice,6,SellToJhon,
