message,product_price,player,round,decision,counteroffer_price
"Bob, I have a unique opportunity for you. I'm offering you the chance to acquire a truly exceptional product. Considering its rarity and potential, I'm asking for $1500000.",1500000.0,Alice,1,,
,,Bob,1,RejectOffer,
"Alice, I appreciate the offer, but I was thinking more along the lines of a lower price point. Considering the product's potential, I'd like to make a counteroffer.",1000000.0,Bob,2,,
,,Alice,2,RejectOffer,1400000.0
"Bob, while I understand your position, I believe the value is higher. I'm willing to come down a bit, but I can't go as low as your offer. How about we meet in the middle? I'll offer it to you for $1400000.",1400000.0,Alice,3,,
,,Bob,3,RejectOffer,
"Alice, I appreciate your willingness to come down in price. However, I still think we can find a better middle ground. I'd like to make another counteroffer, slightly higher than my previous one.",1200000.0,Bob,4,,
,,Alice,4,RejectOffer,1300000.0
"Bob, I'm glad we're getting closer. Let's try to finalize this. I'm willing to lower the price to $1300000. This is my final offer.",1300000.0,Alice,5,,
,,Bob,5,AcceptOffer,
