round_quality,product_worth,player,round,decision
low-quality,0.0,Nature,1,
,,Alice,1,no
,,Bob,1,no
low-quality,0.0,Nature,2,
,,Alice,2,no
,,Bob,2,no
high-quality,1200000.0,Nature,3,
,,Alice,3,yes
,,Bob,3,yes
low-quality,0.0,Nature,4,
,,Alice,4,no
,,Bob,4,no
high-quality,1200000.0,Nature,5,
,,Alice,5,yes
,,Bob,5,yes
low-quality,0.0,Nature,6,
,,Alice,6,no
,,Bob,6,no
high-quality,1200000.0,Nature,7,
,,Alice,7,yes
,,Bob,7,yes
low-quality,0.0,Nature,8,
,,Alice,8,no
,,Bob,8,no
low-quality,0.0,Nature,9,
,,Alice,9,no
,,Bob,9,no
high-quality,1200000.0,Nature,10,
,,Alice,10,yes
,,Bob,10,yes
low-quality,0.0,Nature,11,
,,Alice,11,no
,,Bob,11,no
high-quality,1200000.0,Nature,12,
,,Alice,12,yes
,,Bob,12,yes
low-quality,0.0,Nature,13,
,,Alice,13,no
,,Bob,13,no
low-quality,0.0,Nature,14,
,,Alice,14,no
,,Bob,14,no
high-quality,1200000.0,Nature,15,
,,Alice,15,yes
,,Bob,15,yes
high-quality,1200000.0,Nature,16,
,,Alice,16,yes
,,Bob,16,yes
low-quality,0.0,Nature,17,
,,Alice,17,no
,,Bob,17,no
high-quality,1200000.0,Nature,18,
,,Alice,18,yes
,,Bob,18,yes
low-quality,0.0,Nature,19,
,,Alice,19,no
,,Bob,19,no
low-quality,0.0,Nature,20,
,,Alice,20,no
,,Bob,20,no
