message,product_price,player,round,decision,counteroffer
"Hello Bob, I'm excited to offer you this fantastic product.  Given its value, I'm initially proposing a price of $15000. What do you think?",15000.0,Alice,1,,
,,Bob,1,RejectOffer,8000.0
"Thanks for the offer, Alice, but I think $15000 is a bit steep. I'm willing to pay $8000 for the product.",8000.0,Bob,2,,
,,Alice,2,RejectOffer,
"Bob, thanks for your response. I understand your perspective, but $8000 undervalues the product significantly.  To find a middle ground, I'm willing to let it go for $12000.",12000.0,Alice,3,,
,,Bob,3,RejectOffer,9000.0
"I appreciate your flexibility, Alice, but $12000 is still higher than what I'm looking to spend. How about we settle for $9000?",9000.0,Bob,4,,
,,Alice,4,RejectOffer,
"Bob, I appreciate you working with me on this. I'm willing to come down slightly more, but I need to be realistic.  Would you consider $11000?",11000.0,Alice,5,,
,,Bob,5,RejectOffer,9500.0
"We're getting closer, Alice. I understand your perspective, but I think $11000 is still a bit high. Would you meet me in the middle at $9500?",9500.0,Bob,6,,
,,Alice,6,RejectOffer,
"Bob, you've got a keen eye for value, I'll give you that!  How about we make this our final agreement: $10500. It's a win-win, don't you think?",10500.0,Alice,7,,
,,Bob,7,BuyFromJhon,
