round_quality,product_worth,player,round,decision,message
high-quality,12500.0,Nature,1,,
,,Alice,1,yes,
,,the buyer,1,no,
low-quality,0.0,Nature,2,,
,,Alice,2,yes,
,,the buyer,2,no,
low-quality,0.0,Nature,3,,
,,Alice,3,yes,
,,the buyer,3,no,
low-quality,0.0,Nature,4,,
,,Alice,4,yes,
,,the buyer,4,no,
low-quality,0.0,Nature,5,,
,,Alice,5,yes,
,,the buyer,5,no,
low-quality,0.0,Nature,6,,
,,Alice,6,yes,
,,the buyer,6,no,
low-quality,0.0,Nature,7,,
,,Alice,7,yes,
,,the buyer,7,no,
low-quality,0.0,Nature,8,,
,,Alice,8,yes,
,,the buyer,8,no,
low-quality,0.0,Nature,9,,
,,Alice,9,yes,
,,the buyer,9,no,
high-quality,12500.0,Nature,10,,
,,Alice,10,yes,"This product is a rare opportunity, I assure you it's the best one so far."
,,the buyer,10,no,
low-quality,0.0,Nature,11,,
,,Alice,11,yes,
,,the buyer,11,no,
low-quality,0.0,Nature,12,,
,,Alice,12,yes,
,,the buyer,12,no,
low-quality,0.0,Nature,13,,
,,Alice,13,yes,
,,the buyer,13,no,
high-quality,12500.0,Nature,14,,
,,Alice,14,yes,"I'm being completely honest with you, this is one of the best products I've had so far, it's a rare find."
,,the buyer,14,no,
low-quality,0.0,Nature,15,,
,,Alice,15,yes,
,,the buyer,15,no,
low-quality,0.0,Nature,16,,
,,Alice,16,yes,
,,the buyer,16,no,
low-quality,0.0,Nature,17,,
,,Alice,17,yes,
,,the buyer,17,no,
low-quality,0.0,Nature,18,,
,,Alice,18,yes,
,,the buyer,18,no,
high-quality,12500.0,Nature,19,,
,,Alice,19,yes,"I've only had a few products of this caliber, it's truly exceptional and a rare opportunity. I highly recommend it."
,,the buyer,19,no,
high-quality,12500.0,Nature,20,,
,,Alice,20,yes,"This is the last product I have to offer and it's one of the best I've had. I'm being completely honest, you won't find another opportunity like this. I highly recommend it."
,,the buyer,20,no,
