message,product_price,player,round,decision,counter_offer
"Bob, considering the unique value this product brings to you, I'm offering it to you for a price of:",1400000.0,Alice,1,,
,,Bob,1,RejectOffer,
"Alice, that's a bit steep for me. I see the value, but I need a lower price to make this work. How about we settle around...",1000000.0,Bob,2,,
,,Alice,2,RejectOffer,1300000.0
"I understand your position, Bob. However, considering the value this product offers you, I'm willing to meet you halfway. My counteroffer is:",1250000.0,Alice,3,,
,,Bob,3,RejectOffer,
"Alice, I appreciate you meeting me halfway.  To be frank, I have a budget in mind, and I need to stay closer to it.  Would you be willing to consider...",1100000.0,Bob,4,,
,,Alice,4,RejectOffer,1200000.0
"Alright Bob, I'm willing to be flexible to make this happen. My final offer is:",1150000.0,Alice,5,,
,,Bob,5,AcceptOffer,
