message,product_price,player,round,decision,reason
"Bob, I'm pleased to offer you the opportunity to acquire this unique product. Considering its value, I'm proposing a price of $1450000.",1450000.0,Alice,1,,
,,Bob,1,RejectOffer,
"Alice, I appreciate your offer, but I was thinking more along the lines of $1300000 for the product. I believe this is a fair price considering its value to me. I'm looking forward to hearing your thoughts.",1300000.0,Bob,2,,
,,Alice,2,RejectOffer,The offer is below my desired price and I believe we can reach a better agreement.
"Bob, thank you for your counteroffer. While I appreciate your perspective, I can't go down to $1300000. However, I'm willing to meet you closer to the middle. How about we settle on $1400000?",1400000.0,Alice,3,,
,,Bob,3,RejectOffer,
"Alice, I appreciate your willingness to compromise. However, I was thinking we could meet even closer to the middle. How about $1350000? I believe this is a reasonable price for both of us.",1350000.0,Bob,4,,
,,Alice,4,RejectOffer,I believe I can still get a higher price than $1350000 from Bob.
"Bob, I appreciate your willingness to negotiate. I'm getting closer to a price that works for me. I'm willing to go down to $1380000. This is my final offer.",1380000.0,Alice,5,,
,,Bob,5,AcceptOffer,
