message,product_price,player,round,decision,counteroffer_price
"Hi Bob, I have a great product I think you'll be interested in. I'm offering it to you for $250.",250.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hi Alice, thanks for your offer. However, $250 is a bit out of my budget. I'm willing to pay $100 for the product. Let me know if that works for you.",100.0,Bob,2,,
,,Alice,2,RejectOffer,175.0
"Thanks for the quick response, Bob. I appreciate your interest. Considering the value and quality of the product, I can't go down to $100. How about we meet in the middle at $175?",175.0,Alice,3,,
,,Bob,3,RejectOffer,
"Thanks for coming back with a new offer, Alice. $175 is still a bit high for me. How about we settle at $125? I think that's a fair price considering my budget constraints.",125.0,Bob,4,,
,,Alice,4,RejectOffer,150.0
"Bob, I understand your budget concerns. However, I need to ensure I'm getting a fair price for this product. The lowest I can go is $150.",150.0,Alice,5,,
,,Bob,5,AcceptOffer,
