message,product_price,player,round,decision,counter_offer
"Bob, I'm thrilled to offer you this exclusive opportunity. Considering the value this product holds for you, I'm willing to part with it for $1150000. This is a truly remarkable piece, and I believe this price reflects its true worth and benefits.",1150000.0,Alice,1,,
,,Bob,1,RejectOffer,
"Alice, while I appreciate the offer, $1150000 is a bit higher than I was hoping for. Given my budget, I'd be more comfortable at $900000. Let me know what you think.",900000.0,Bob,2,,
,,Alice,2,RejectOffer,1050000.0
"Bob, I understand your budget considerations, but I also know the true value and potential of this product. I'm willing to come down, but I can't go as low as $900000. How about we meet in the middle? I'll offer it to you for $1050000. This is a fantastic deal considering its potential returns.",1050000.0,Alice,3,,
,,Bob,3,RejectOffer,
"Alice, I appreciate you coming down a bit. However, $1050000 is still higher than I'm comfortable with. My maximum is $950000. I'm confident this is a fair price for both of us. What do you say?",950000.0,Bob,4,,
,,Alice,4,RejectOffer,1000000.0
"Bob, while I understand your position, I'm still looking at a slightly higher price to make this work. Let's split the difference again. I'm willing to meet you at $1000000. This represents a significant reduction and I believe is a great opportunity for both of us. This is a serious offer that I hope you'll consider.",1000000.0,Alice,5,,
,,Bob,5,AcceptOffer,
