alice_gain,bob_gain,message,player,round,decision
500000.0,500000.0,"Let's split it fairly down the middle, Bob. What do you say?",Alice,1,
,,,Bob,1,reject
450000.0,550000.0,"Considering the inflation, I'd like a bit more this time. Let's settle for this.",Bob,2,
,,,Alice,2,reject
475000.0,525000.0,"Given the inflation, I'm willing to take a bit less than half, but let's keep it reasonable. What do you think, Bob?",Alice,3,
,,,Bob,3,reject
400000.0,600000.0,Inflation is cutting into my share. I need to secure more this time. Let's agree on this split.,Bob,4,
,,,Alice,4,reject
450000.0,550000.0,"Bob, inflation is affecting us both. Let's find a middle ground. I'm willing to take a bit less than before, but we need to settle this soon.",Alice,5,
,,,Bob,5,accept
