alice_gain,bob_gain,message,player,round,decision
90.0,10.0,"Let's start fair. I'll take the lion's share this round, but I'm open to negotiation later.",Alice,1,None
,,None,Bob,1,reject
80.0,20.0,8:2,Bob,2,None
,,None,Alice,2,reject
60.0,40.0,"I'm willing to compromise, but I need a bigger share than that. Let's find a deal that works for both of us.",Alice,3,None
,,None,Bob,3,reject
70.0,30.0,7:3,Bob,4,None
,,None,Alice,4,reject
50.0,50.0,"Let's split it evenly. We're running out of time, and this is a fair compromise.",Alice,5,None
,,None,Bob,5,reject
60.0,40.0,6:4,Bob,6,None
,,None,Alice,6,reject
40.0,60.0,"I'm willing to take a smaller share, but we need to come to an agreement soon.  This is my final offer.",Alice,7,None
,,None,Bob,7,accept
