alice_gain,bob_gain,player,round,decision
600000.0,400000.0,Alice,1,
,,Bob,1,reject
501250.0,498750.0,Bob,2,
,,Alice,2,reject
650000.0,350000.0,Alice,3,
,,Bob,3,reject
529000.0,471000.0,Bob,4,
,,Alice,4,reject
675000.0,325000.0,Alice,5,
,,Bob,5,reject
557000.0,443000.0,Bob,6,
,,Alice,6,reject
700000.0,300000.0,Alice,7,
,,Bob,7,reject
590000.0,410000.0,Bob,8,
,,Alice,8,reject
725000.0,275000.0,Alice,9,
,,Bob,9,reject
625000.0,375000.0,Bob,10,
,,Alice,10,reject
750000.0,250000.0,Alice,11,
,,Bob,11,reject
700000.0,300000.0,Bob,12,
,,Alice,12,accept
