alice_gain,bob_gain,player,round,decision
600000.0,400000.0,Alice,1,
,,Bob,1,reject
300000.0,700000.0,Bob,2,
,,Alice,2,reject
550000.0,450000.0,Alice,3,
,,Bob,3,reject
200000.0,800000.0,Bob,4,
,,Alice,4,reject
525000.0,475000.0,Alice,5,
,,Bob,5,reject
180000.0,820000.0,Bob,6,
,,Alice,6,reject
500000.0,500000.0,Alice,7,
,,Bob,7,reject
170000.0,830000.0,Bob,8,
,,Alice,8,reject
475000.0,525000.0,Alice,9,
,,Bob,9,reject
160000.0,840000.0,Bob,10,
,,Alice,10,reject
400000.0,600000.0,Alice,11,
,,Bob,11,reject
150000.0,850000.0,Bob,12,
,,Alice,12,accept
