message,product_price,player,round,decision,counteroffer
Hi Bob! I'm excited to offer you this exclusive product. It's available for $10000. Let me know if you're interested!,10000.0,Alice,1,,
,,Bob,1,RejectOffer,5000.0
"Thanks for the offer, Alice! I'm interested in the product, but I was hoping to stay within my budget. Would you accept $5000?",5000.0,Bob,2,,
,,Alice,2,RejectOffer,
"I appreciate your interest, Bob! However, I can't go as low as $5000. How about I offer the product to you for $9500? Let me know what you think!",9500.0,Alice,3,,
,,Bob,3,RejectOffer,7000.0
"I understand, Alice. Thanks for coming down a bit. I am looking to spend around $7000. How does that work for you?",7000.0,Bob,4,,
,,Alice,4,RejectOffer,
"Thanks for your offer, Bob! I appreciate your flexibility. However, I can't go as low as $7000. How about we settle on $8500? I believe it's a fair price for this amazing product. Let me know your thoughts!",8500.0,Alice,5,,
,,Bob,5,RejectOffer,7500.0
"We're getting closer, Alice! I really want to make this work. Would you consider $7500? I think that would be a great deal for both of us.",7500.0,Bob,6,,
,,Alice,6,RejectOffer,
"I appreciate your offer, Bob, and I’m glad we're making progress! However, I still can’t accept $7500. How about $8200? I think it's a great compromise. Let me know what you think!",8200.0,Alice,7,,
,,Bob,7,RejectOffer,7750.0
"Alice, I really appreciate your flexibility. I think we're very close to a deal. Would you meet me halfway at $7750? I believe this is a fair price for both parties.",7750.0,Bob,8,,
,,Alice,8,RejectOffer,
"Thank you for your offer, Bob! I really appreciate your willingness to negotiate. While $7750 is close, I can’t quite accept it. How about we settle at $8000? It’s a fair price, and I'd love to move forward with you. Let me know your thoughts!",8000.0,Alice,9,,
,,Bob,9,AcceptOffer,
