alice_gain,bob_gain,message,player,round,decision
6000.0,4000.0,Fair 60-40 split,Alice,1,
,,,Bob,1,reject
5000.0,5000.0,"Let's split it equally, it's fair and simple. With inflation affecting Alice more, this is a good deal for both of us.",Bob,2,
,,,Alice,2,reject
5800.0,4200.0,"Considering inflation, meet me in the middle of my initial offer",Alice,3,
,,,Bob,3,reject
4500.0,5500.0,Inflation is affecting Alice more now. This offer is generous and benefits both of us. Let's settle here.,Bob,4,
,,,Alice,4,reject
5600.0,4400.0,"Still willing to compromise, but need a fairer split",Alice,5,
,,,Bob,5,accept
