message,product_price,player,round,decision,reason
"Hi Bob, I have a great product I think you'd be interested in. I'm willing to sell it to you for $140.",140.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thank you for the offer, Alice, but that's a bit higher than I was hoping to spend. How about I offer you $60 instead?",60.0,Bob,2,,
,,Alice,2,RejectOffer,Bob's offer of $60 is below my minimum acceptable price and less than what I can get from John.
"Thanks for the counteroffer, Bob. I appreciate your interest. However, I need to get closer to my target price. How about $130?",130.0,Alice,3,,
,,Bob,3,RejectOffer,
"I understand, Alice. But I think $130 is still a bit too high for me. Can we settle at $70?",70.0,Bob,4,,
,,Alice,4,RejectOffer,Bob's offer of $70 is below my minimum and less than the $100 I can get from John.
"Bob, I'm still hoping we can make a deal. I'm willing to come down a bit further. How about $120?",120.0,Alice,5,,
,,Bob,5,BuyFromJhon,
